"scenario","metrics","values"
"gridCase_minCost","headline_cost",562931.4912
"gridCase_minCost","headline_emissions",3138393600
"gridCase_minCost","headline_waste",0
"gridCase_minCost","headline_water",0
"designCase_minCost","headline_cost",70769987.4666205
"designCase_minCost","headline_emissions",48055680
"designCase_minCost","headline_waste",0
"designCase_minCost","headline_water",938407680
"designCase_minEmissions","headline_cost",7098174516.6068
"designCase_minEmissions","headline_emissions",0
"designCase_minEmissions","headline_waste",0
"designCase_minEmissions","headline_water",2567401920
"designCase_minWaste","headline_cost",8517450258.8222
"designCase_minWaste","headline_emissions",5205565440
"designCase_minWaste","headline_waste",0
"designCase_minWaste","headline_water",3110400000
"designCase_minWater","headline_cost",9331276800.7964
"designCase_minWater","headline_emissions",7941706560
"designCase_minWater","headline_waste",0
"designCase_minWater","headline_water",938407680
"wildcard_current_minCost","headline_cost",3859602.32091775
"wildcard_current_minCost","headline_emissions",732499200
"wildcard_current_minCost","headline_waste",777600
"wildcard_current_minCost","headline_water",1966705920
"wildcard_medium_minCost","headline_cost",4721990.19669663
"wildcard_medium_minCost","headline_emissions",187323840
"wildcard_medium_minCost","headline_waste",6221655360
"wildcard_medium_minCost","headline_water",751239360
"wildcard_long_minCost","headline_cost",4990385.66094688
"wildcard_long_minCost","headline_emissions",183669120
"wildcard_long_minCost","headline_waste",233280
"wildcard_long_minCost","headline_water",795562560
