"resource","season","zone","imports","exports"
"algaeDry","sum","factory",0.02,0
"ash","sum","residential",0,0.01
"biomass","sum","dormitories",0.01,0
"CO2","sum","dormitories",0,0.1
"CO2","wint","factory",0,0.51
"CO2","sum","factory",0,0.01
"CO2","wint","factory_assembly",0,0.47
"CO2","sum","factory_blades",0,0.01
"CO2","wint","hospital",0,0.03
"CO2","wint","northDistrict",0,0.02
"CO2","sum","northDistrict",0,0.01
"CO2","wint","reserved",0,0.01
"CO2","wint","residential",0,22.27
"CO2","sum","residential",0,0.16
"CO2","shoulder","residential",0,0.01
"coal","wint","residential",0.4,0
"coal","sum","residential",0.07,0
"cool","wint","residential",0,13.91
"cool","shoulder","residential",0,11.63
"digestate","sum","factory",0,0.01
"elec","sum","dormitories",0,0.05
"elec","sum","quality",0,0.02
"elec","sum","school",0,0.06
"gasoline","wint","residential",0.02,0
"gasoline","sum","residential",0.01,0
"groundWater","wint","dormitories",6.24,0
"groundWater","sum","dormitories",6.24,0
"groundWater","shoulder","dormitories",6.24,0
"heat","wint","dormitories",0,0.06
"heat","shoulder","dormitories",0,0.06
"heat","sum","factory",0,14.91
"heat","shoulder","factory",0,12
"heat","sum","factory_assembly",0,5.24
"heat","shoulder","factory_assembly",0,4.7
"heat","wint","hospital",0,0.34
"heat","sum","hospital",0,14.53
"heat","shoulder","hospital",0,8.32
"heat","wint","residential",0,218.18
"heat","sum","residential",0,237.81
"heat","shoulder","residential",0,244.43
"methane","sum","factory",0,0.02
"waste","wint","factory",0,0.01
"waste","wint","factory_assembly",0,0.01
"wastewater","wint","factory",0,2.4
"wastewater","sum","factory",0,4.6
"wastewater","shoulder","factory",0,4.6
"wastewater","wint","northDistrict",0,0.25
"wastewater","sum","northDistrict",0,0.98
"wastewater","shoulder","northDistrict",0,1.2
"water","wint","residential",55.37,0
"water","sum","residential",7.7,0
"water","shoulder","residential",7.14,0
"waterNonPotable","wint","dormitories",0,0.01
"waterNonPotable","sum","dormitories",0,0.19
"waterNonPotable","shoulder","dormitories",0,0.01
"waterNonPotable","sum","factory",0,0.47
"waterNonPotable","shoulder","factory",0,0.47
"waterNonPotable","wint","factory_assembly",0,1.04
"waterNonPotable","sum","factory_assembly",0,1.39
"waterNonPotable","shoulder","factory_assembly",0,1.39
"waterNonPotable","wint","hospital",0,0.06
"waterNonPotable","sum","hospital",0,2.78
"waterNonPotable","shoulder","hospital",0,2.76
"waterNonPotable","wint","northDistrict",2.31,0
"waterNonPotable","sum","northDistrict",2.31,0
"waterNonPotable","shoulder","northDistrict",2.31,0
"waterNonPotable","sum","quality",0,0.05
"waterNonPotable","wint","reserved",0,0.44
"waterNonPotable","shoulder","reserved",0,0.22
"waterNonPotable","wint","residential",0,44.92
"waterNonPotable","sum","residential",0,44.92
"waterNonPotable","shoulder","residential",0,44.92
"waterNonPotable","sum","school",0,0.16
