zone_start,zone_end,kilometers
factory,northDistrict,0.9
factory,factory_assembly,0.5
factory,multifunction,0.5
factory,dormitories,0.5
factory,factory_blades,0.5
northDistrict,tech,0.5
northDistrict,quality,0.5
northDistrict,energyIsland,1.7
northDistrict,residential,2.2
residential,school,0.5
residential,reserved,0.5
residential,hospital,1
northDistrict,factory,0.9
factory_assembly,factory,0.5
multifunction,factory,0.5
dormitories,factory,0.5
factory_blades,factory,0.5
tech,northDistrict,0.5
quality,northDistrict,0.5
energyIsland,northDistrict,1.7
residential,northDistrict,2.2
school,residential,0.5
reserved,residential,0.5
hospital,residential,1
